bowling_type,venue_type,innings,n,avg_bowl_pts,median_bowl_pts,avg_overs,avg_wickets,avg_dots,avg_er,innings_label,concept,bowl_rank
Pace,Balanced,1,51,55.9,40.0,3.5,1.5,7.7,9.4,1st (bowl first),Pace | Balanced | 1st (bowl first),1
Pace,Bowling-friendly,2,37,53.3,42.0,3.3,1.3,8.5,8.1,2nd (defend),Pace | Bowling-friendly | 2nd (defend),2
Pace,Bowling-friendly,1,43,49.9,43.0,3.6,1.3,8.2,8.7,1st (bowl first),Pace | Bowling-friendly | 1st (bowl first),3
Finger Spin,Batting-friendly,2,38,43.6,38.5,3.3,1.2,5.8,8.4,2nd (defend),Finger Spin | Batting-friendly | 2nd (defend),4
Pace,Batting-friendly,1,137,40.4,37.0,3.5,1.1,7.4,9.7,1st (bowl first),Pace | Batting-friendly | 1st (bowl first),5
Pace,Batting-friendly,2,137,38.2,36.0,3.4,1.0,7.4,9.4,2nd (defend),Pace | Batting-friendly | 2nd (defend),6
Finger Spin,Bowling-friendly,2,15,35.7,32.0,2.9,0.9,6.3,8.9,2nd (defend),Finger Spin | Bowling-friendly | 2nd (defend),7
Wrist Spin,Batting-friendly,1,27,33.1,32.0,3.6,0.9,6.4,9.1,1st (bowl first),Wrist Spin | Batting-friendly | 1st (bowl first),8
Pace,Balanced,2,47,33.0,34.0,3.1,0.9,6.7,9.5,2nd (defend),Pace | Balanced | 2nd (defend),9
Finger Spin,Batting-friendly,1,36,31.1,32.5,3.2,0.8,5.5,9.1,1st (bowl first),Finger Spin | Batting-friendly | 1st (bowl first),10
Wrist Spin,Batting-friendly,2,27,27.1,10.0,3.5,0.7,6.6,8.9,2nd (defend),Wrist Spin | Batting-friendly | 2nd (defend),11
