player,player_fe
SA Yadav,87.34659972159209
D Brevis,83.78378402921855
H Klaasen,72.6846428864985
N Pooran,66.0619800601087
B Sai Sudharsan,65.34744651430589
KL Rahul,65.20976140830732
JC Buttler,64.1418889608994
SS Iyer,62.75656529725039
MR Marsh,61.205978566059365
R Shepherd,60.99220586781015
JM Sharma,60.05788642709133
A Badoni,59.95188742244481
Shashank Singh,59.22553853459983
TH David,58.49496503087456
Ashwani Kumar,56.91853928551844
HH Pandya,56.07499597230405
Dhruv Jurel,55.34519618944575
AD Russell,54.53408546338387
JR Hazlewood,54.16473727055262
SE Rutherford,53.24181324284842
Shubman Gill,52.747446514305764
N Wadhera,52.1184232418474
Noor Ahmad,51.9612926300654
V Kohli,51.56849273212924
Harpreet Brar,51.13125622025482
KV Sharma,50.84727313889558
A Raghuvanshi,50.84431754057953
YBK Jaiswal,50.78441830946632
R Parag,50.16350760172293
Naman Dhir,50.050590271656276
S Dube,49.78400093373499
Ashutosh Sharma,49.77885831199181
JP Inglis,49.68323267290472
RA Jadeja,49.002457271820994
T Stubbs,48.75388751109664
MS Dhoni,48.645811431386754
E Malinga,48.29886697589339
JD Unadkat,48.16258385568863
A Kamboj,48.10454417435888
Tilak Varma,47.63416767022589
Washington Sundar,47.51374366180692
V Puthur,47.07991072659874
KH Pandya,47.01956012182705
A Mhatre,46.48817495067726
RK Singh,46.04977968247773
SO Hetmyer,45.318343721353706
JJ Bumrah,44.98552952234239
V Shankar,44.28706882141594
Aniket Verma,43.62631119791685
M Jansen,43.54250628910947
M Prasidh Krishna,42.9052883444179
AM Rahane,42.897364338703994
PHKD Mendis,42.72770267966389
R Sai Kishore,41.90576469038668
V Suryavanshi,41.365528359061216
RM Patidar,40.998572229796125
Harshit Rana,40.993455486241714
VR Iyer,40.94805570870441
M Shahrukh Khan,40.85511235283188
PJ Cummins,40.386445038388885
TA Boult,40.201467114277555
Arshad Khan,39.7714806105373
AK Markram,39.770397991837
V Nigam,39.66231803971028
Arshdeep Singh,39.14024421830179
DL Chahar,39.03321501339315
VG Arora,38.65420453010787
PD Salt,38.588389350330104
GJ Maxwell,38.576624345597175
RD Rickelton,37.881369454067745
RR Pant,37.85926347720839
Nithish Kumar Reddy,37.639918274558624
HV Patel,37.42723177744463
MA Starc,37.117875514131
Ishan Kishan,37.066564923560904
P Simran Singh,36.64525351001984
AR Patel,35.99444850648034
WG Jacks,35.7729957622326
Abhishek Sharma,35.657538918863004
Abdul Samad,35.08519074318096
Ramandeep Singh,35.039274582523134
B Kumar,34.26843998455965
SB Dubey,34.15185945952628
CV Varun,33.94370127306349
YS Chahal,33.84200939166604
KK Ahmed,33.725547131317875
SN Thakur,33.458494370562306
DA Miller,33.31501018563732
SV Samson,32.795959255155545
LS Livingstone,32.43290769783739
A Manohar,32.33335823050757
MP Stoinis,32.034067771881546
Priyansh Arya,31.87163436724483
MJ Santner,31.714738655015108
RA Bawa,31.545371668945243
TM Head,31.41440412229454
Mohammed Siraj,29.746641507798028
D Padikkal,29.513169232350563
Azmatullah Omarzai,29.360500438892174
N Rana,29.287565089684293
MM Ali,29.154284142263258
Yash Dayal,28.056989229390478
M Pathirana,27.87670976846386
Mukesh Kumar,27.81620661042168
I Sharma,27.65539740890481
RD Gaikwad,27.49613679638903
JC Archer,27.320294618979993
KK Nair,25.766665495147734
R Tewatia,24.996103583276657
RG Sharma,24.481409941134814
Ravi Bishnoi,23.94224747645056
DJ Hooda,23.598442202684538
PVD Chameera,23.439280656053157
TU Deshpande,23.17374674592707
Avesh Khan,23.010260806010628
SM Curran,21.985171065322035
Kuldeep Yadav,21.675142193595285
Vijaykumar Vyshak,20.31876324742251
DS Rathi,18.501633247911776
Abishek Porel,17.304018368997745
R Ashwin,17.078830666611992
DP Conway,16.847638754570347
M Theekshana,16.721082878696393
Mohammed Shami,16.082856653476988
Suyash Sharma,15.830621248068631
PWH de Silva,15.828518643110883
Sandeep Sharma,15.487187626503236
Akash Deep,11.550240767008148
Zeeshan Ansari,11.344427431244135
SP Narine,10.827184137506464
Rashid Khan,10.23868695735677
F du Plessis,9.869363491059424
R Ravindra,8.58753256972787
Prince Yadav,7.97252986798425
Q de Kock,3.9346209241400913
MM Sharma,1.9763413152332916
Rahmanullah Gurbaz,-2.994837971119509
SK Rasheed,-5.613088434483629
RA Tripathi,-8.097935051962978
Fazalhaq Farooqi,-8.52984449479267
J Fraser-McGurk,-19.17267751256209
